donor,recipient,amount
Japan,India,48830067295
Japan,Thailand,35437690727
United Kingdom,India,19921976117
Germany,India,18017983208
United States,Colombia,17104240812
United States,India,16529832819
United States,Brazil,13548341140
Japan,Brazil,10406029105
Netherlands,India,6977708986
United States,South Africa,6678780430
United States,Thailand,6495636611
France,India,4139074370
Germany,Brazil,4063216247
Sweden,India,3827796549
United States,Chile,3690681030
Canada,India,3659444746
France,Brazil,3297628513
Norway,India,2147933250
Denmark,India,2004368952
France,South Africa,1901701859
United Kingdom,South Africa,1862114265
Italy,Brazil,1843859410
Switzerland,India,1839499003
Germany,South Africa,1784147995
United States,Hungary,1765304543
Germany,Thailand,1702275036
United States,Romania,1686279765
France,Colombia,1680107102
Sweden,South Africa,1416545325
Japan,Colombia,1414487282
Germany,Chile,1365472828
Germany,Colombia,1238911524
Italy,India,1237117872
Japan,South Africa,1176312073
Australia,Thailand,1162746092
Norway,Brazil,1070847764
Spain,Colombia,1066811913
France,Thailand,1049660923
Australia,India,982075862
Netherlands,South Africa,840526986
Canada,Thailand,836611055
Japan,Romania,801669787
United Kingdom,Brazil,713312502
Japan,Chile,703444054
Norway,South Africa,689555304
Japan,Hungary,680145878
Canada,Colombia,671086359
Netherlands,Colombia,642223602
Belgium,India,561481858
United States,Cyprus,494019637
Denmark,Thailand,489489466
United Kingdom,Thailand,434207101
France,Chile,423553789
Denmark,South Africa,411760384
Canada,South Africa,370099631
Canada,Brazil,344019962
Belgium,South Africa,340304159
Spain,Brazil,312007477
Sweden,Colombia,309592487
Italy,Colombia,306112843
Norway,Colombia,299650983
Switzerland,Colombia,291509810
Switzerland,South Africa,273016890
Spain,India,271820536
France,Romania,241984953
Australia,South Africa,240893012
Germany,Romania,222430428
United Kingdom,Colombia,215435718
Belgium,Brazil,212928735
Spain,Chile,211911806
Finland,South Africa,198796278
Ireland,South Africa,192651212
Sweden,Thailand,184052641
Finland,India,182512666
Sweden,Chile,177465428
France,Hungary,172396140
Italy,Chile,169818458
Austria,India,162421492
Switzerland,Thailand,143029761
Norway,Thailand,136378534
Netherlands,Thailand,129993723
Netherlands,Chile,127976174
Finland,Thailand,126195858
Germany,Cyprus,112651716
Germany,Slovenia,109892941
United Kingdom,Romania,109722333
Italy,South Africa,106916806
Canada,Chile,106773387
Germany,Hungary,105587476
Belgium,Colombia,102867692
Switzerland,Brazil,95419283
Switzerland,Chile,87963745
Netherlands,Brazil,87040487
Austria,Thailand,73958508
Switzerland,Romania,73441265
United Kingdom,Hungary,71021427
Austria,Hungary,63871235
Belgium,Chile,59867040
France,Cyprus,59146756
Ireland,India,58328825
Norway,Chile,56575551
Belgium,Thailand,53295601
Austria,Brazil,52226511
Austria,Cyprus,51130825
Austria,Slovenia,46991641
Canada,Romania,44042357
Luxembourg,India,36638705
Netherlands,Romania,35291746
Italy,Thailand,34627069
Denmark,Chile,33407149
Austria,Romania,31695093
United Kingdom,Chile,29636288
Austria,South Africa,29251443
Sweden,Brazil,26653699
Canada,Slovenia,25872980
Finland,Brazil,25810862
Italy,Romania,25578574
Spain,Romania,24248203
Finland,Colombia,23761728
Luxembourg,Brazil,23531630
Luxembourg,Colombia,20308798
Austria,Colombia,20231447
Spain,South Africa,19495582
Ireland,Colombia,19468675
Australia,Cyprus,18728824
Luxembourg,South Africa,18699146
New Zealand,South Africa,18156298
New Zealand,India,17973296
Ireland,Brazil,17590489
Netherlands,Hungary,17119328
Canada,Hungary,15859229
Italy,Cyprus,13345573
United Kingdom,Cyprus,13166610
France,Slovenia,12821097
Finland,Hungary,12089983
Australia,Chile,11512013
Australia,Brazil,10843457
Australia,Colombia,10565816
Sweden,Romania,10079723
Finland,Chile,9423678
Italy,Hungary,8524063
New Zealand,Thailand,8211584
New Zealand,Chile,7827589
Spain,Thailand,7072193
United States,Slovenia,6917157
Switzerland,Cyprus,6611736
Italy,Slovenia,6608256
Austria,Chile,6426788
Luxembourg,Thailand,5449188
United Kingdom,Slovenia,5171801
Luxembourg,Chile,5065189
Belgium,Romania,4513915
Ireland,Thailand,4314669
Sweden,Slovenia,3979854
Spain,Hungary,3854725
Norway,Romania,3776773
Netherlands,Slovenia,3407449
Denmark,Brazil,3184580
Denmark,Colombia,3146117
New Zealand,Brazil,3055532
Sweden,Hungary,2969663
Switzerland,Hungary,2322402
Netherlands,Cyprus,2179629
Ireland,Chile,2159916
Belgium,Hungary,1433578
Canada,Cyprus,1410195
New Zealand,Colombia,1371917
Belgium,Slovenia,1314983
Norway,Cyprus,1246375
Australia,Hungary,984655
Spain,Slovenia,707340
Norway,Hungary,624435
Switzerland,Slovenia,371519
Ireland,Romania,335098
Japan,Slovenia,316243
Spain,Cyprus,229892
Norway,Slovenia,226588
Belgium,Cyprus,149740
Luxembourg,Romania,133449
Australia,Slovenia,96659
Ireland,Hungary,60706
Japan,Cyprus,27266
Finland,Romania,26671
Finland,Cyprus,0
Finland,Slovenia,0
Luxembourg,Hungary,0
Luxembourg,Cyprus,0
Luxembourg,Slovenia,0
New Zealand,Romania,0
New Zealand,Hungary,0
New Zealand,Cyprus,0
New Zealand,Slovenia,0
Ireland,Cyprus,0
Ireland,Slovenia,0
Sweden,Cyprus,0
Denmark,Romania,0
Denmark,Hungary,0
Denmark,Cyprus,0
Denmark,Slovenia,0
Australia,Romania,0
